Année_mois,Viols sur des majeur(e)s,Viols sur des mineur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s,Atteintes sexuelles,Année,Mois
2021_09,1622,1473,1546,2253,1345,2021,09
2021_08,1400,1257,1349,1675,1184,2021,08
2021_07,1498,1394,1461,1880,1243,2021,07
2021_06,1615,1789,1590,2564,1451,2021,06
2021_05,1273,1410,1196,2050,1285,2021,05
2021_04,1143,1405,1144,1854,1285,2021,04
2021_03,1360,1790,1374,2412,1642,2021,03
2021_02,1151,1349,1126,1806,1291,2021,02
2021_01,1168,1441,1063,2056,1415,2021,01
2020_12,1078,1316,1102,1838,1243,2020,12
2020_11,1172,1314,1087,1908,1384,2020,11
2020_10,1187,1213,1201,1787,1321,2020,10
2020_09,1244,1215,1349,1747,1575,2020,09
2020_08,1250,1148,1281,1454,1439,2020,08
2020_07,1423,1371,1422,1616,1585,2020,07
2020_06,1288,1239,1255,1752,1600,2020,06
2020_05,1014,919,871,1206,1321,2020,05
2020_04,605,492,471,625,662,2020,04
2020_03,827,797,786,1083,1027,2020,03
2020_02,1140,1173,1269,1644,1206,2020,02
2020_01,1182,1215,1253,1757,1278,2020,01
2019_12,1089,1104,1126,1619,1165,2019,12
2019_11,1166,1091,1215,1726,1361,2019,11
2019_10,1156,1119,1284,1673,1289,2019,10
2019_09,1160,996,1250,1480,1332,2019,09
2019_08,989,828,1065,1187,1262,2019,08
2019_07,1116,1041,1446,1500,1411,2019,07
2019_06,919,986,1186,1610,1372,2019,06
2019_05,858,1020,1091,1604,1262,2019,05
2019_04,890,1068,1039,1614,1280,2019,04
2019_03,907,1143,1146,1805,1383,2019,03
2019_02,801,889,983,1421,1128,2019,02
2019_01,905,1094,1027,1598,1241,2019,01
2018_12,818,831,948,1480,1059,2018,12
2018_11,852,976,1110,1488,1211,2018,11
2018_10,920,901,1255,1552,1252,2018,10
2018_09,841,806,1157,1373,1305,2018,09
2018_08,864,757,1091,1198,1229,2018,08
2018_07,953,916,1337,1399,1310,2018,07
2018_06,902,988,1143,1668,1424,2018,06
2018_05,815,879,1067,1370,1363,2018,05
2018_04,751,890,1042,1357,1208,2018,04
2018_03,803,872,1094,1533,1284,2018,03
2018_02,774,782,949,1318,1023,2018,02
2018_01,748,826,962,1351,1141,2018,01
2017_12,694,767,920,1342,922,2017,12
2017_11,757,894,1057,1499,1099,2017,11
2017_10,857,791,1165,1335,1287,2017,10
2017_09,731,712,881,1049,1083,2017,09
2017_08,714,619,867,952,1092,2017,08
2017_07,778,689,913,1034,1095,2017,07
2017_06,724,776,935,1319,1239,2017,06
2017_05,692,862,848,1277,1276,2017,05
2017_04,617,702,709,1143,1068,2017,04
2017_03,753,835,822,1473,1276,2017,03
2017_02,629,673,665,1069,899,2017,02
2017_01,640,734,738,1192,991,2017,01
2016_12,599,682,667,1101,849,2016,12
2016_11,604,744,752,1138,970,2016,11
2016_10,744,673,801,1131,1025,2016,10
2016_09,720,673,842,1175,1273,2016,09
2016_08,661,621,745,1024,1031,2016,08
2016_07,623,602,876,1029,1038,2016,07
2016_06,642,736,797,1209,1117,2016,06
2016_05,643,706,809,1188,1159,2016,05
2016_04,578,674,686,1127,1046,2016,04
2016_03,683,751,770,1306,1139,2016,03
2016_02,561,630,771,1142,1118,2016,02
2016_01,606,692,752,1137,1108,2016,01
2015_12,574,688,744,1159,1019,2015,12
2015_11,597,705,872,1243,1105,2015,11
2015_10,617,691,781,1133,1128,2015,10
2015_09,581,590,721,1076,1087,2015,09
2015_08,548,463,720,824,1083,2015,08
2015_07,551,597,763,1040,1202,2015,07
2015_06,516,661,798,1203,1385,2015,06
2015_05,499,572,674,1055,1130,2015,05
2015_04,504,703,730,1147,1257,2015,04
2015_03,507,637,667,1140,1108,2015,03
2015_02,512,539,594,1002,878,2015,02
2015_01,459,570,615,969,896,2015,01
2014_12,500,633,622,1233,931,2014,12
2014_11,468,597,671,970,1005,2014,11
2014_10,578,622,696,1053,1209,2014,10
2014_09,494,455,697,994,1190,2014,09
2014_08,444,473,589,826,970,2014,08
2014_07,518,551,659,908,1138,2014,07
2014_06,501,624,639,1011,1187,2014,06
2014_05,458,563,648,998,1141,2014,05
2014_04,454,661,637,1015,1122,2014,04
2014_03,483,588,550,995,1051,2014,03
2014_02,469,642,532,1055,1032,2014,02
